title,popularity,vote_count,vote_average
Ad Astra,476.043,1323,6.1
Jumanji: The Next Level,293.642,344,6.8
6 Underground,258.317,453,6.5
Star Wars: The Rise of Skywalker,287.655,116,6.7
Frozen II,183.288,1073,7.0
Joker,271.298,6553,8.3
Once Upon a Time… in Hollywood,124.369,3282,7.5
Marriage Story,84.264,742,8.1
Ip Man 4: The Finale,145.272,13,6.2
The Irishman,82.211,1447,7.9
Code 8,109.165,51,7.0
It Chapter Two,95.425,2499,6.8
Rambo: Last Blood,94.533,810,5.9
Aladdin,78.293,4355,7.0
My Bakit List,237.587,0,0.0
Knives Out,71.558,715,7.9
One Piece: Stampede,82.213,102,7.4
Gundala,108.937,22,6.4
Red Shoes and the Seven Dwarfs,62.07,57,6.1
Abominable,62.936,305,6.8
Fast & Furious Presents: Hobbs & Shaw,59.939,2187,6.6
Hustlers,53.22,720,6.2
The Lion King,57.851,3909,7.1
Ready or Not,51.741,601,6.8
Parasite,61.912,1814,8.6
Spider-Man: Far from Home,60.627,5374,7.6
Steven Universe: The Movie,46.783,90,8.8
Uncut Gems,57.87,16,7.9
John Wick: Chapter 3 - Parabellum,48.157,3421,7.1
Terminator: Dark Fate,56.186,820,6.2
Doctor Sleep,47.344,610,7.1
Dark Phoenix,47.97,2561,6.1
Captain Marvel,44.726,7858,7.0
Ford v Ferrari,41.168,613,7.8
El Camino: A Breaking Bad Movie,45.485,1654,7.0
Klaus,42.998,614,8.3
Angel Has Fallen,44.159,834,5.8
47 Meters Down: Uncaged,38.146,316,4.7
Toy Story 4,45.329,3207,7.6
Good Boys,42.998,497,6.6
Dolemite Is My Name,35.25,201,7.2
Cats,74.516,4,7.0
Gorillaz: Reject False Icons,18.209,2,8.0
Black Christmas,35.899,33,4.2
Alita: Battle Angel,36.102,3900,6.9
Dora and the Lost City of Gold,44.164,402,6.3
Avengers: Endgame,38.659,10496,8.3
How to Train Your Dragon: The Hidden World,36.159,2812,7.7
Zombieland: Double Tap,72.437,593,7.2
Gemini Man,38.187,858,5.7
Official Secrets,26.329,70,7.2
Shazam!,39.573,3884,7.0
Men in Black: International,39.644,1797,6.0
Crayon Shin-chan: Honeymoon Hurricane ~The Lost Hiroshi~,36.042,2,5.5
Last Christmas,31.956,185,7.1
Mob Town,21.267,2,8.0
Maleficent: Mistress of Evil,35.309,1045,7.2
Angel Falls: A Novel Holiday,29.798,1,6.0
Glass,32.997,4304,6.5
Spies in Disguise,42.518,0,0.0
Midway,28.896,157,6.6
Anna,35.454,691,6.5
Downton Abbey,36.108,287,7.0
The Goldfinch,25.191,97,6.7
Lupinranger VS Patranger VS Kyuranger,28.115,2,5.5
The Same Blood,27.526,7,6.6
Kamen Rider Zi-O the Movie: Over Quartzer!,32.816,11,6.8
Judy,29.278,56,7.1
Ronny Chieng: Asian Comedian Destroys America!,21.459,1,10.0
Charlie's Angels,27.523,210,6.3
How to Train Your Dragon: Homecoming,23.079,36,8.3
Recep İvedik 6,18.96,6,4.8
Godzilla: King of the Monsters,30.95,1840,6.1
Danger Close,28.769,21,6.6
Rediscovering Christmas,17.44,0,0.0
Trauma Center,19.799,20,5.4
Pokémon Detective Pikachu,27.836,2884,6.9
The Immortal,25.748,62,7.5
The Secret Life of Pets 2,24.341,897,6.6
1917,28.815,10,7.5
Jarhead: Law of Return,13.734,6,5.7
Killerman,15.362,7,6.1
Scary Stories to Tell in the Dark,24.693,702,6.3
Paradise Hills,39.151,52,6.1
Holiday Date,9.866,0,0.0
Midsommar,29.129,1148,7.1
Richard Jewell,33.59,12,7.7
Girls und Panzer das Finale: Part II,26.765,5,3.6
Countdown,18.447,94,6.9
A Cheerful Christmas,11.838,0,0.0
The Angry Birds Movie 2,31.536,350,6.5
A Cinderella Story: Christmas Wish,19.407,168,6.8
The Addams Family,25.855,264,6.2
21 Bridges,25.554,49,6.5
Descendants 3,25.028,430,7.7
Snowbound for Christmas,11.576,0,0.0
Yesterday,23.424,1119,6.7
Rocketman,28.699,1500,7.4
A Christmas Winter Song,10.834,4,7.5
The Room,25.477,30,6.3
